Machine 2 initialized. Clock rate=2
[RECEIVE] SystemTime=1740950992.3103, LogicalClock=1, Info=From=1, SenderClock=0, QueueSizeAfter=0, OldLocalClock=0
[SEND] SystemTime=1740950992.8159, LogicalClock=2, Info=To=3
[RECEIVE] SystemTime=1740950993.3219, LogicalClock=4, Info=From=1, SenderClock=3, QueueSizeAfter=0, OldLocalClock=2
[INTERNAL] SystemTime=1740950993.8278, LogicalClock=5, Info=old_clock=4
[RECEIVE] SystemTime=1740950994.3315, LogicalClock=10, Info=From=1, SenderClock=9, QueueSizeAfter=0, OldLocalClock=5
[RECEIVE] SystemTime=1740950994.8330, LogicalClock=15, Info=From=1, SenderClock=14, QueueSizeAfter=0, OldLocalClock=10
[INTERNAL] SystemTime=1740950995.3378, LogicalClock=16, Info=old_clock=15
[RECEIVE] SystemTime=1740950995.8413, LogicalClock=21, Info=From=1, SenderClock=20, QueueSizeAfter=0, OldLocalClock=16
[RECEIVE] SystemTime=1740950996.3434, LogicalClock=22, Info=From=3, SenderClock=18, QueueSizeAfter=1, OldLocalClock=21
[RECEIVE] SystemTime=1740950996.8461, LogicalClock=23, Info=From=3, SenderClock=19, QueueSizeAfter=1, OldLocalClock=22
[RECEIVE] SystemTime=1740950997.3515, LogicalClock=24, Info=From=3, SenderClock=21, QueueSizeAfter=1, OldLocalClock=23
[RECEIVE] SystemTime=1740950997.8541, LogicalClock=30, Info=From=1, SenderClock=29, QueueSizeAfter=0, OldLocalClock=24
[RECEIVE] SystemTime=1740950998.3560, LogicalClock=33, Info=From=3, SenderClock=32, QueueSizeAfter=0, OldLocalClock=30
[RECEIVE] SystemTime=1740950998.8621, LogicalClock=38, Info=From=1, SenderClock=37, QueueSizeAfter=0, OldLocalClock=33
[INTERNAL] SystemTime=1740950999.3632, LogicalClock=39, Info=old_clock=38
[RECEIVE] SystemTime=1740950999.8651, LogicalClock=43, Info=From=1, SenderClock=42, QueueSizeAfter=0, OldLocalClock=39
[RECEIVE] SystemTime=1740951000.3703, LogicalClock=48, Info=From=1, SenderClock=47, QueueSizeAfter=0, OldLocalClock=43
