Machine 1 initialized. Clock rate=1
[INTERNAL] SystemTime=1740950758.4230, LogicalClock=1, Info=old_clock=0
[RECEIVE] SystemTime=1740950759.4283, LogicalClock=2, Info=From=3, SenderClock=1, QueueSizeAfter=1, OldLocalClock=1
[RECEIVE] SystemTime=1740950760.4297, LogicalClock=3, Info=From=3, SenderClock=2, QueueSizeAfter=0, OldLocalClock=2
[RECEIVE] SystemTime=1740950761.4344, LogicalClock=7, Info=From=2, SenderClock=6, QueueSizeAfter=0, OldLocalClock=3
[RECEIVE] SystemTime=1740950762.4401, LogicalClock=15, Info=From=3, SenderClock=14, QueueSizeAfter=0, OldLocalClock=7
[RECEIVE] SystemTime=1740950763.4415, LogicalClock=18, Info=From=3, SenderClock=17, QueueSizeAfter=1, OldLocalClock=15
[RECEIVE] SystemTime=1740950764.4436, LogicalClock=19, Info=From=3, SenderClock=18, QueueSizeAfter=1, OldLocalClock=18
[RECEIVE] SystemTime=1740950765.4491, LogicalClock=21, Info=From=2, SenderClock=20, QueueSizeAfter=1, OldLocalClock=19
[RECEIVE] SystemTime=1740950766.4518, LogicalClock=26, Info=From=3, SenderClock=25, QueueSizeAfter=2, OldLocalClock=21
[RECEIVE] SystemTime=1740950767.4555, LogicalClock=29, Info=From=3, SenderClock=28, QueueSizeAfter=3, OldLocalClock=26
[RECEIVE] SystemTime=1740950768.4582, LogicalClock=30, Info=From=2, SenderClock=28, QueueSizeAfter=3, OldLocalClock=29
[RECEIVE] SystemTime=1740950769.4614, LogicalClock=31, Info=From=2, SenderClock=30, QueueSizeAfter=2, OldLocalClock=30
[RECEIVE] SystemTime=1740950770.4631, LogicalClock=36, Info=From=3, SenderClock=35, QueueSizeAfter=1, OldLocalClock=31
[RECEIVE] SystemTime=1740950771.4676, LogicalClock=37, Info=From=3, SenderClock=36, QueueSizeAfter=1, OldLocalClock=36
[RECEIVE] SystemTime=1740950772.4727, LogicalClock=50, Info=From=3, SenderClock=49, QueueSizeAfter=2, OldLocalClock=37
[RECEIVE] SystemTime=1740950773.4734, LogicalClock=51, Info=From=2, SenderClock=47, QueueSizeAfter=3, OldLocalClock=50
[RECEIVE] SystemTime=1740950774.4782, LogicalClock=53, Info=From=3, SenderClock=52, QueueSizeAfter=4, OldLocalClock=51
[RECEIVE] SystemTime=1740950775.4826, LogicalClock=57, Info=From=3, SenderClock=56, QueueSizeAfter=3, OldLocalClock=53
[RECEIVE] SystemTime=1740950776.4835, LogicalClock=58, Info=From=3, SenderClock=57, QueueSizeAfter=2, OldLocalClock=57
[RECEIVE] SystemTime=1740950777.4887, LogicalClock=62, Info=From=3, SenderClock=61, QueueSizeAfter=4, OldLocalClock=58
[RECEIVE] SystemTime=1740950778.4900, LogicalClock=63, Info=From=3, SenderClock=62, QueueSizeAfter=5, OldLocalClock=62
[RECEIVE] SystemTime=1740950779.4936, LogicalClock=69, Info=From=2, SenderClock=68, QueueSizeAfter=5, OldLocalClock=63
[RECEIVE] SystemTime=1740950780.4988, LogicalClock=73, Info=From=3, SenderClock=72, QueueSizeAfter=6, OldLocalClock=69
[RECEIVE] SystemTime=1740950781.5039, LogicalClock=74, Info=From=2, SenderClock=73, QueueSizeAfter=7, OldLocalClock=73
[RECEIVE] SystemTime=1740950782.5082, LogicalClock=76, Info=From=3, SenderClock=75, QueueSizeAfter=6, OldLocalClock=74
[RECEIVE] SystemTime=1740950783.5125, LogicalClock=79, Info=From=3, SenderClock=78, QueueSizeAfter=6, OldLocalClock=76
[RECEIVE] SystemTime=1740950784.5169, LogicalClock=83, Info=From=3, SenderClock=82, QueueSizeAfter=6, OldLocalClock=79
[RECEIVE] SystemTime=1740950785.5180, LogicalClock=84, Info=From=2, SenderClock=82, QueueSizeAfter=6, OldLocalClock=83
[RECEIVE] SystemTime=1740950786.5244, LogicalClock=85, Info=From=3, SenderClock=84, QueueSizeAfter=6, OldLocalClock=84
[RECEIVE] SystemTime=1740950787.5271, LogicalClock=87, Info=From=2, SenderClock=86, QueueSizeAfter=5, OldLocalClock=85
[RECEIVE] SystemTime=1740950788.5310, LogicalClock=90, Info=From=3, SenderClock=89, QueueSizeAfter=6, OldLocalClock=87
[RECEIVE] SystemTime=1740950789.5363, LogicalClock=96, Info=From=3, SenderClock=95, QueueSizeAfter=8, OldLocalClock=90
[RECEIVE] SystemTime=1740950790.5391, LogicalClock=102, Info=From=3, SenderClock=101, QueueSizeAfter=9, OldLocalClock=96
[RECEIVE] SystemTime=1740950791.5435, LogicalClock=106, Info=From=3, SenderClock=105, QueueSizeAfter=11, OldLocalClock=102
[RECEIVE] SystemTime=1740950792.5471, LogicalClock=111, Info=From=3, SenderClock=110, QueueSizeAfter=10, OldLocalClock=106
[RECEIVE] SystemTime=1740950793.5518, LogicalClock=116, Info=From=3, SenderClock=115, QueueSizeAfter=9, OldLocalClock=111
[RECEIVE] SystemTime=1740950794.5580, LogicalClock=117, Info=From=2, SenderClock=114, QueueSizeAfter=10, OldLocalClock=116
[RECEIVE] SystemTime=1740950795.5637, LogicalClock=120, Info=From=3, SenderClock=119, QueueSizeAfter=10, OldLocalClock=117
[RECEIVE] SystemTime=1740950796.5674, LogicalClock=122, Info=From=3, SenderClock=121, QueueSizeAfter=11, OldLocalClock=120
[RECEIVE] SystemTime=1740950797.5733, LogicalClock=123, Info=From=3, SenderClock=122, QueueSizeAfter=14, OldLocalClock=122
[RECEIVE] SystemTime=1740950798.5790, LogicalClock=125, Info=From=3, SenderClock=124, QueueSizeAfter=15, OldLocalClock=123
