Max internal event=100
Max clock speed=6
Machine 2 initialized. Clock rate=6
[INTERNAL] SystemTime=1741155289.9794, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741155290.1513, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741155290.3193, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741155290.4888, LogicalClock=4, Info=old_clock=3
[SEND] SystemTime=1741155290.6617, LogicalClock=5, Info=Broadcast to peers [1, 3]
[INTERNAL] SystemTime=1741155290.8309, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741155290.9998, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741155291.1674, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741155291.3403, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741155291.5115, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741155291.6842, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741155291.8540, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741155292.0248, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741155292.1965, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741155292.3684, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741155292.5411, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741155292.7142, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741155292.8869, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741155293.0582, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741155293.2288, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1741155293.3998, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741155293.5683, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741155293.7368, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741155293.9095, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741155294.0775, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741155294.2495, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741155294.4185, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741155294.5908, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741155294.7627, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741155294.9354, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741155295.1062, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741155295.2783, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741155295.4508, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741155295.6199, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741155295.7914, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741155295.9611, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741155296.1332, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741155296.3046, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741155296.4773, LogicalClock=39, Info=old_clock=38
[INTERNAL] SystemTime=1741155296.6462, LogicalClock=40, Info=old_clock=39
[SEND] SystemTime=1741155296.8189, LogicalClock=41, Info=To=3
[INTERNAL] SystemTime=1741155296.9899, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1741155297.1582, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1741155297.3314, LogicalClock=44, Info=old_clock=43
[INTERNAL] SystemTime=1741155297.5031, LogicalClock=45, Info=old_clock=44
[INTERNAL] SystemTime=1741155297.6718, LogicalClock=46, Info=old_clock=45
[INTERNAL] SystemTime=1741155297.8415, LogicalClock=47, Info=old_clock=46
[INTERNAL] SystemTime=1741155298.0122, LogicalClock=48, Info=old_clock=47
[INTERNAL] SystemTime=1741155298.1841, LogicalClock=49, Info=old_clock=48
[INTERNAL] SystemTime=1741155298.3561, LogicalClock=50, Info=old_clock=49
[INTERNAL] SystemTime=1741155298.5289, LogicalClock=51, Info=old_clock=50
[INTERNAL] SystemTime=1741155298.6975, LogicalClock=52, Info=old_clock=51
[INTERNAL] SystemTime=1741155298.8701, LogicalClock=53, Info=old_clock=52
[INTERNAL] SystemTime=1741155299.0415, LogicalClock=54, Info=old_clock=53
[INTERNAL] SystemTime=1741155299.2112, LogicalClock=55, Info=old_clock=54
[INTERNAL] SystemTime=1741155299.3825, LogicalClock=56, Info=old_clock=55
[INTERNAL] SystemTime=1741155299.5551, LogicalClock=57, Info=old_clock=56
[INTERNAL] SystemTime=1741155299.7253, LogicalClock=58, Info=old_clock=57
[INTERNAL] SystemTime=1741155299.8955, LogicalClock=59, Info=old_clock=58
[INTERNAL] SystemTime=1741155300.0675, LogicalClock=60, Info=old_clock=59
[INTERNAL] SystemTime=1741155300.2368, LogicalClock=61, Info=old_clock=60
[INTERNAL] SystemTime=1741155300.4081, LogicalClock=62, Info=old_clock=61
[INTERNAL] SystemTime=1741155300.5815, LogicalClock=63, Info=old_clock=62
[INTERNAL] SystemTime=1741155300.7531, LogicalClock=64, Info=old_clock=63
[INTERNAL] SystemTime=1741155300.9228, LogicalClock=65, Info=old_clock=64
[INTERNAL] SystemTime=1741155301.0945, LogicalClock=66, Info=old_clock=65
[INTERNAL] SystemTime=1741155301.2641, LogicalClock=67, Info=old_clock=66
[INTERNAL] SystemTime=1741155301.4357, LogicalClock=68, Info=old_clock=67
[INTERNAL] SystemTime=1741155301.6075, LogicalClock=69, Info=old_clock=68
[INTERNAL] SystemTime=1741155301.7783, LogicalClock=70, Info=old_clock=69
[INTERNAL] SystemTime=1741155301.9492, LogicalClock=71, Info=old_clock=70
[INTERNAL] SystemTime=1741155302.1201, LogicalClock=72, Info=old_clock=71
[INTERNAL] SystemTime=1741155302.2886, LogicalClock=73, Info=old_clock=72
[INTERNAL] SystemTime=1741155302.4592, LogicalClock=74, Info=old_clock=73
[INTERNAL] SystemTime=1741155302.6291, LogicalClock=75, Info=old_clock=74
[INTERNAL] SystemTime=1741155302.8008, LogicalClock=76, Info=old_clock=75
[INTERNAL] SystemTime=1741155302.9738, LogicalClock=77, Info=old_clock=76
[INTERNAL] SystemTime=1741155303.1429, LogicalClock=78, Info=old_clock=77
[INTERNAL] SystemTime=1741155303.3109, LogicalClock=79, Info=old_clock=78
[INTERNAL] SystemTime=1741155303.4801, LogicalClock=80, Info=old_clock=79
[INTERNAL] SystemTime=1741155303.6495, LogicalClock=81, Info=old_clock=80
[INTERNAL] SystemTime=1741155303.8221, LogicalClock=82, Info=old_clock=81
[INTERNAL] SystemTime=1741155303.9940, LogicalClock=83, Info=old_clock=82
[INTERNAL] SystemTime=1741155304.1649, LogicalClock=84, Info=old_clock=83
[INTERNAL] SystemTime=1741155304.3366, LogicalClock=85, Info=old_clock=84
[INTERNAL] SystemTime=1741155304.5095, LogicalClock=86, Info=old_clock=85
[INTERNAL] SystemTime=1741155304.6825, LogicalClock=87, Info=old_clock=86
[INTERNAL] SystemTime=1741155304.8518, LogicalClock=88, Info=old_clock=87
[INTERNAL] SystemTime=1741155305.0229, LogicalClock=89, Info=old_clock=88
[INTERNAL] SystemTime=1741155305.1941, LogicalClock=90, Info=old_clock=89
[INTERNAL] SystemTime=1741155305.3666, LogicalClock=91, Info=old_clock=90
[INTERNAL] SystemTime=1741155305.5367, LogicalClock=92, Info=old_clock=91
[INTERNAL] SystemTime=1741155305.7096, LogicalClock=93, Info=old_clock=92
[INTERNAL] SystemTime=1741155305.8772, LogicalClock=94, Info=old_clock=93
[INTERNAL] SystemTime=1741155306.0447, LogicalClock=95, Info=old_clock=94
[INTERNAL] SystemTime=1741155306.2159, LogicalClock=96, Info=old_clock=95
[INTERNAL] SystemTime=1741155306.3842, LogicalClock=97, Info=old_clock=96
[INTERNAL] SystemTime=1741155306.5528, LogicalClock=98, Info=old_clock=97
[INTERNAL] SystemTime=1741155306.7247, LogicalClock=99, Info=old_clock=98
[INTERNAL] SystemTime=1741155306.8964, LogicalClock=100, Info=old_clock=99
[INTERNAL] SystemTime=1741155307.0688, LogicalClock=101, Info=old_clock=100
[INTERNAL] SystemTime=1741155307.2397, LogicalClock=102, Info=old_clock=101
[INTERNAL] SystemTime=1741155307.4101, LogicalClock=103, Info=old_clock=102
[INTERNAL] SystemTime=1741155307.5792, LogicalClock=104, Info=old_clock=103
[INTERNAL] SystemTime=1741155307.7519, LogicalClock=105, Info=old_clock=104
[INTERNAL] SystemTime=1741155307.9234, LogicalClock=106, Info=old_clock=105
[INTERNAL] SystemTime=1741155308.0962, LogicalClock=107, Info=old_clock=106
[INTERNAL] SystemTime=1741155308.2666, LogicalClock=108, Info=old_clock=107
[INTERNAL] SystemTime=1741155308.4391, LogicalClock=109, Info=old_clock=108
[INTERNAL] SystemTime=1741155308.6085, LogicalClock=110, Info=old_clock=109
[INTERNAL] SystemTime=1741155308.7785, LogicalClock=111, Info=old_clock=110
[INTERNAL] SystemTime=1741155308.9466, LogicalClock=112, Info=old_clock=111
[INTERNAL] SystemTime=1741155309.1190, LogicalClock=113, Info=old_clock=112
[INTERNAL] SystemTime=1741155309.2915, LogicalClock=114, Info=old_clock=113
[INTERNAL] SystemTime=1741155309.4639, LogicalClock=115, Info=old_clock=114
[INTERNAL] SystemTime=1741155309.6337, LogicalClock=116, Info=old_clock=115
[INTERNAL] SystemTime=1741155309.8020, LogicalClock=117, Info=old_clock=116
[INTERNAL] SystemTime=1741155309.9748, LogicalClock=118, Info=old_clock=117
[INTERNAL] SystemTime=1741155310.1480, LogicalClock=119, Info=old_clock=118
[INTERNAL] SystemTime=1741155310.3210, LogicalClock=120, Info=old_clock=119
[INTERNAL] SystemTime=1741155310.4916, LogicalClock=121, Info=old_clock=120
[INTERNAL] SystemTime=1741155310.6626, LogicalClock=122, Info=old_clock=121
[INTERNAL] SystemTime=1741155310.8322, LogicalClock=123, Info=old_clock=122
[INTERNAL] SystemTime=1741155311.0031, LogicalClock=124, Info=old_clock=123
[INTERNAL] SystemTime=1741155311.1731, LogicalClock=125, Info=old_clock=124
[INTERNAL] SystemTime=1741155311.3438, LogicalClock=126, Info=old_clock=125
[INTERNAL] SystemTime=1741155311.5138, LogicalClock=127, Info=old_clock=126
[INTERNAL] SystemTime=1741155311.6827, LogicalClock=128, Info=old_clock=127
[INTERNAL] SystemTime=1741155311.8527, LogicalClock=129, Info=old_clock=128
[INTERNAL] SystemTime=1741155312.0225, LogicalClock=130, Info=old_clock=129
[RECEIVE] SystemTime=1741155312.1928, LogicalClock=131, Info=From=3, SenderClock=55, QueueSizeAfter=0, OldLocalClock=130
[INTERNAL] SystemTime=1741155312.3648, LogicalClock=132, Info=old_clock=131
[INTERNAL] SystemTime=1741155312.5359, LogicalClock=133, Info=old_clock=132
[INTERNAL] SystemTime=1741155312.7056, LogicalClock=134, Info=old_clock=133
[INTERNAL] SystemTime=1741155312.8758, LogicalClock=135, Info=old_clock=134
[INTERNAL] SystemTime=1741155313.0447, LogicalClock=136, Info=old_clock=135
[INTERNAL] SystemTime=1741155313.2166, LogicalClock=137, Info=old_clock=136
[INTERNAL] SystemTime=1741155313.3896, LogicalClock=138, Info=old_clock=137
[INTERNAL] SystemTime=1741155313.5618, LogicalClock=139, Info=old_clock=138
[SEND] SystemTime=1741155313.7348, LogicalClock=140, Info=To=3
[INTERNAL] SystemTime=1741155313.9072, LogicalClock=141, Info=old_clock=140
[INTERNAL] SystemTime=1741155314.0782, LogicalClock=142, Info=old_clock=141
[INTERNAL] SystemTime=1741155314.2500, LogicalClock=143, Info=old_clock=142
[INTERNAL] SystemTime=1741155314.4231, LogicalClock=144, Info=old_clock=143
[INTERNAL] SystemTime=1741155314.5938, LogicalClock=145, Info=old_clock=144
[INTERNAL] SystemTime=1741155314.7643, LogicalClock=146, Info=old_clock=145
[INTERNAL] SystemTime=1741155314.9373, LogicalClock=147, Info=old_clock=146
[INTERNAL] SystemTime=1741155315.1079, LogicalClock=148, Info=old_clock=147
[INTERNAL] SystemTime=1741155315.2789, LogicalClock=149, Info=old_clock=148
[INTERNAL] SystemTime=1741155315.4507, LogicalClock=150, Info=old_clock=149
[INTERNAL] SystemTime=1741155315.6238, LogicalClock=151, Info=old_clock=150
[INTERNAL] SystemTime=1741155315.7968, LogicalClock=152, Info=old_clock=151
[INTERNAL] SystemTime=1741155315.9666, LogicalClock=153, Info=old_clock=152
[SEND] SystemTime=1741155316.1366, LogicalClock=154, Info=To=1
[INTERNAL] SystemTime=1741155316.3083, LogicalClock=155, Info=old_clock=154
[INTERNAL] SystemTime=1741155316.4814, LogicalClock=156, Info=old_clock=155
[INTERNAL] SystemTime=1741155316.6500, LogicalClock=157, Info=old_clock=156
[INTERNAL] SystemTime=1741155316.8196, LogicalClock=158, Info=old_clock=157
[INTERNAL] SystemTime=1741155316.9914, LogicalClock=159, Info=old_clock=158
[INTERNAL] SystemTime=1741155317.1638, LogicalClock=160, Info=old_clock=159
[INTERNAL] SystemTime=1741155317.3349, LogicalClock=161, Info=old_clock=160
[INTERNAL] SystemTime=1741155317.5073, LogicalClock=162, Info=old_clock=161
[INTERNAL] SystemTime=1741155317.6787, LogicalClock=163, Info=old_clock=162
[INTERNAL] SystemTime=1741155317.8508, LogicalClock=164, Info=old_clock=163
[INTERNAL] SystemTime=1741155318.0203, LogicalClock=165, Info=old_clock=164
[INTERNAL] SystemTime=1741155318.1923, LogicalClock=166, Info=old_clock=165
[SEND] SystemTime=1741155318.3634, LogicalClock=167, Info=To=1
[INTERNAL] SystemTime=1741155318.5346, LogicalClock=168, Info=old_clock=167
[INTERNAL] SystemTime=1741155318.7040, LogicalClock=169, Info=old_clock=168
[INTERNAL] SystemTime=1741155318.8758, LogicalClock=170, Info=old_clock=169
[INTERNAL] SystemTime=1741155319.0447, LogicalClock=171, Info=old_clock=170
[INTERNAL] SystemTime=1741155319.2167, LogicalClock=172, Info=old_clock=171
[INTERNAL] SystemTime=1741155319.3896, LogicalClock=173, Info=old_clock=172
[INTERNAL] SystemTime=1741155319.5626, LogicalClock=174, Info=old_clock=173
[INTERNAL] SystemTime=1741155319.7356, LogicalClock=175, Info=old_clock=174
[INTERNAL] SystemTime=1741155319.9078, LogicalClock=176, Info=old_clock=175
[INTERNAL] SystemTime=1741155320.0806, LogicalClock=177, Info=old_clock=176
[INTERNAL] SystemTime=1741155320.2536, LogicalClock=178, Info=old_clock=177
[INTERNAL] SystemTime=1741155320.4265, LogicalClock=179, Info=old_clock=178
[INTERNAL] SystemTime=1741155320.5952, LogicalClock=180, Info=old_clock=179
[INTERNAL] SystemTime=1741155320.7669, LogicalClock=181, Info=old_clock=180
[INTERNAL] SystemTime=1741155320.9366, LogicalClock=182, Info=old_clock=181
[INTERNAL] SystemTime=1741155321.1056, LogicalClock=183, Info=old_clock=182
[INTERNAL] SystemTime=1741155321.2757, LogicalClock=184, Info=old_clock=183
[INTERNAL] SystemTime=1741155321.4446, LogicalClock=185, Info=old_clock=184
[INTERNAL] SystemTime=1741155321.6133, LogicalClock=186, Info=old_clock=185
[INTERNAL] SystemTime=1741155321.7855, LogicalClock=187, Info=old_clock=186
[INTERNAL] SystemTime=1741155321.9566, LogicalClock=188, Info=old_clock=187
[RECEIVE] SystemTime=1741155322.1257, LogicalClock=189, Info=From=3, SenderClock=147, QueueSizeAfter=0, OldLocalClock=188
[INTERNAL] SystemTime=1741155322.2980, LogicalClock=190, Info=old_clock=189
[INTERNAL] SystemTime=1741155322.4668, LogicalClock=191, Info=old_clock=190
[INTERNAL] SystemTime=1741155322.6366, LogicalClock=192, Info=old_clock=191
[INTERNAL] SystemTime=1741155322.8095, LogicalClock=193, Info=old_clock=192
[INTERNAL] SystemTime=1741155322.9818, LogicalClock=194, Info=old_clock=193
[INTERNAL] SystemTime=1741155323.1513, LogicalClock=195, Info=old_clock=194
[INTERNAL] SystemTime=1741155323.3220, LogicalClock=196, Info=old_clock=195
[INTERNAL] SystemTime=1741155323.4934, LogicalClock=197, Info=old_clock=196
[INTERNAL] SystemTime=1741155323.6649, LogicalClock=198, Info=old_clock=197
[INTERNAL] SystemTime=1741155323.8378, LogicalClock=199, Info=old_clock=198
[INTERNAL] SystemTime=1741155324.0094, LogicalClock=200, Info=old_clock=199
[INTERNAL] SystemTime=1741155324.1822, LogicalClock=201, Info=old_clock=200
[INTERNAL] SystemTime=1741155324.3551, LogicalClock=202, Info=old_clock=201
[INTERNAL] SystemTime=1741155324.5257, LogicalClock=203, Info=old_clock=202
[INTERNAL] SystemTime=1741155324.6975, LogicalClock=204, Info=old_clock=203
[INTERNAL] SystemTime=1741155324.8698, LogicalClock=205, Info=old_clock=204
[INTERNAL] SystemTime=1741155325.0427, LogicalClock=206, Info=old_clock=205
[INTERNAL] SystemTime=1741155325.2152, LogicalClock=207, Info=old_clock=206
