Max internal event=100
Max clock speed=6
Machine 1 initialized. Clock rate=6
[INTERNAL] SystemTime=1741152953.9872, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741152954.1592, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741152954.3311, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741152954.5012, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741152954.6701, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741152954.8438, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741152955.0133, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741152955.1852, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741152955.3572, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741152955.5277, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741152955.6998, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741152955.8696, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741152956.0374, LogicalClock=13, Info=old_clock=12
[SEND] SystemTime=1741152956.2055, LogicalClock=14, Info=To=2
[INTERNAL] SystemTime=1741152956.3759, LogicalClock=15, Info=old_clock=14
[RECEIVE] SystemTime=1741152956.5474, LogicalClock=16, Info=From=3, SenderClock=10, QueueSizeAfter=0, OldLocalClock=15
[INTERNAL] SystemTime=1741152956.7153, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741152956.8837, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741152957.0557, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741152957.2264, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1741152957.3959, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741152957.5658, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741152957.7371, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741152957.9062, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741152958.0763, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741152958.2439, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741152958.4129, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741152958.5811, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741152958.7533, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741152958.9226, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741152959.0948, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741152959.2637, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741152959.4362, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741152959.6051, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741152959.7746, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741152959.9417, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741152960.1137, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741152960.2859, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741152960.4576, LogicalClock=39, Info=old_clock=38
