Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=1
[SEND] SystemTime=1741151942.8218, LogicalClock=1, Info=To=3
[RECEIVE] SystemTime=1741151943.8269, LogicalClock=2, Info=From=2, SenderClock=0, QueueSizeAfter=1, OldLocalClock=1
[RECEIVE] SystemTime=1741151944.8322, LogicalClock=3, Info=From=2, SenderClock=2, QueueSizeAfter=4, OldLocalClock=2
[RECEIVE] SystemTime=1741151945.8365, LogicalClock=8, Info=From=3, SenderClock=7, QueueSizeAfter=7, OldLocalClock=3
[RECEIVE] SystemTime=1741151946.8418, LogicalClock=9, Info=From=3, SenderClock=8, QueueSizeAfter=8, OldLocalClock=8
[RECEIVE] SystemTime=1741151947.8470, LogicalClock=10, Info=From=3, SenderClock=9, QueueSizeAfter=10, OldLocalClock=9
[RECEIVE] SystemTime=1741151948.8523, LogicalClock=12, Info=From=3, SenderClock=11, QueueSizeAfter=12, OldLocalClock=10
[RECEIVE] SystemTime=1741151949.8576, LogicalClock=13, Info=From=3, SenderClock=12, QueueSizeAfter=16, OldLocalClock=12
[RECEIVE] SystemTime=1741151950.8602, LogicalClock=15, Info=From=3, SenderClock=14, QueueSizeAfter=19, OldLocalClock=13
[RECEIVE] SystemTime=1741151951.8654, LogicalClock=17, Info=From=3, SenderClock=16, QueueSizeAfter=25, OldLocalClock=15
[RECEIVE] SystemTime=1741151952.8678, LogicalClock=18, Info=From=3, SenderClock=17, QueueSizeAfter=25, OldLocalClock=17
[RECEIVE] SystemTime=1741151953.8730, LogicalClock=19, Info=From=2, SenderClock=18, QueueSizeAfter=25, OldLocalClock=18
[RECEIVE] SystemTime=1741151954.8761, LogicalClock=24, Info=From=3, SenderClock=23, QueueSizeAfter=28, OldLocalClock=19
[RECEIVE] SystemTime=1741151955.8813, LogicalClock=25, Info=From=3, SenderClock=24, QueueSizeAfter=29, OldLocalClock=24
[RECEIVE] SystemTime=1741151956.8867, LogicalClock=26, Info=From=3, SenderClock=25, QueueSizeAfter=31, OldLocalClock=25
[RECEIVE] SystemTime=1741151957.8894, LogicalClock=30, Info=From=3, SenderClock=29, QueueSizeAfter=33, OldLocalClock=26
[RECEIVE] SystemTime=1741151958.8943, LogicalClock=33, Info=From=3, SenderClock=32, QueueSizeAfter=35, OldLocalClock=30
[RECEIVE] SystemTime=1741151959.8996, LogicalClock=34, Info=From=2, SenderClock=30, QueueSizeAfter=38, OldLocalClock=33
[RECEIVE] SystemTime=1741151960.9054, LogicalClock=35, Info=From=2, SenderClock=31, QueueSizeAfter=38, OldLocalClock=34
[RECEIVE] SystemTime=1741151961.9099, LogicalClock=36, Info=From=2, SenderClock=32, QueueSizeAfter=40, OldLocalClock=35
[RECEIVE] SystemTime=1741151962.9150, LogicalClock=39, Info=From=3, SenderClock=38, QueueSizeAfter=42, OldLocalClock=36
[RECEIVE] SystemTime=1741151963.9203, LogicalClock=40, Info=From=2, SenderClock=37, QueueSizeAfter=45, OldLocalClock=39
[RECEIVE] SystemTime=1741151964.9219, LogicalClock=41, Info=From=3, SenderClock=40, QueueSizeAfter=47, OldLocalClock=40
[RECEIVE] SystemTime=1741151965.9273, LogicalClock=42, Info=From=3, SenderClock=41, QueueSizeAfter=48, OldLocalClock=41
[RECEIVE] SystemTime=1741151966.9308, LogicalClock=44, Info=From=3, SenderClock=43, QueueSizeAfter=51, OldLocalClock=42
[RECEIVE] SystemTime=1741151967.9331, LogicalClock=45, Info=From=3, SenderClock=44, QueueSizeAfter=53, OldLocalClock=44
[RECEIVE] SystemTime=1741151968.9384, LogicalClock=46, Info=From=2, SenderClock=43, QueueSizeAfter=57, OldLocalClock=45
[RECEIVE] SystemTime=1741151969.9437, LogicalClock=47, Info=From=3, SenderClock=46, QueueSizeAfter=59, OldLocalClock=46
[RECEIVE] SystemTime=1741151970.9479, LogicalClock=48, Info=From=2, SenderClock=47, QueueSizeAfter=60, OldLocalClock=47
