Max internal event=4
Max clock speed=6
Machine 2 initialized. Clock rate=2
[SEND] SystemTime=1741155779.4025, LogicalClock=1, Info=To=3
[SEND] SystemTime=1741155779.9080, LogicalClock=2, Info=To=1
[RECEIVE] SystemTime=1741155780.4119, LogicalClock=6, Info=From=3, SenderClock=5, QueueSizeAfter=0, OldLocalClock=2
[RECEIVE] SystemTime=1741155780.9163, LogicalClock=7, Info=From=1, SenderClock=5, QueueSizeAfter=1, OldLocalClock=6
[RECEIVE] SystemTime=1741155781.4190, LogicalClock=9, Info=From=3, SenderClock=8, QueueSizeAfter=1, OldLocalClock=7
[RECEIVE] SystemTime=1741155781.9210, LogicalClock=11, Info=From=1, SenderClock=10, QueueSizeAfter=4, OldLocalClock=9
[RECEIVE] SystemTime=1741155782.4238, LogicalClock=12, Info=From=1, SenderClock=11, QueueSizeAfter=7, OldLocalClock=11
[RECEIVE] SystemTime=1741155782.9301, LogicalClock=13, Info=From=1, SenderClock=12, QueueSizeAfter=7, OldLocalClock=12
[RECEIVE] SystemTime=1741155783.4349, LogicalClock=15, Info=From=3, SenderClock=14, QueueSizeAfter=8, OldLocalClock=13
[RECEIVE] SystemTime=1741155783.9410, LogicalClock=16, Info=From=1, SenderClock=13, QueueSizeAfter=10, OldLocalClock=15
[RECEIVE] SystemTime=1741155784.4433, LogicalClock=17, Info=From=3, SenderClock=15, QueueSizeAfter=12, OldLocalClock=16
[RECEIVE] SystemTime=1741155784.9455, LogicalClock=18, Info=From=1, SenderClock=14, QueueSizeAfter=14, OldLocalClock=17
[RECEIVE] SystemTime=1741155785.4518, LogicalClock=19, Info=From=1, SenderClock=15, QueueSizeAfter=14, OldLocalClock=18
[RECEIVE] SystemTime=1741155785.9579, LogicalClock=20, Info=From=3, SenderClock=17, QueueSizeAfter=14, OldLocalClock=19
[RECEIVE] SystemTime=1741155786.4637, LogicalClock=21, Info=From=3, SenderClock=20, QueueSizeAfter=16, OldLocalClock=20
