Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=3
[INTERNAL] SystemTime=1741155911.3687, LogicalClock=1, Info=old_clock=0
[RECEIVE] SystemTime=1741155911.7060, LogicalClock=2, Info=From=2, SenderClock=0, QueueSizeAfter=1, OldLocalClock=1
[RECEIVE] SystemTime=1741155912.0428, LogicalClock=3, Info=From=3, SenderClock=0, QueueSizeAfter=0, OldLocalClock=2
[INTERNAL] SystemTime=1741155912.3787, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741155912.7183, LogicalClock=5, Info=old_clock=4
[RECEIVE] SystemTime=1741155913.0539, LogicalClock=9, Info=From=2, SenderClock=8, QueueSizeAfter=1, OldLocalClock=5
[RECEIVE] SystemTime=1741155913.3932, LogicalClock=10, Info=From=2, SenderClock=9, QueueSizeAfter=0, OldLocalClock=9
[RECEIVE] SystemTime=1741155913.7321, LogicalClock=13, Info=From=2, SenderClock=12, QueueSizeAfter=1, OldLocalClock=10
[RECEIVE] SystemTime=1741155914.0710, LogicalClock=14, Info=From=2, SenderClock=13, QueueSizeAfter=1, OldLocalClock=13
[RECEIVE] SystemTime=1741155914.4074, LogicalClock=16, Info=From=2, SenderClock=15, QueueSizeAfter=0, OldLocalClock=14
[RECEIVE] SystemTime=1741155914.7461, LogicalClock=19, Info=From=2, SenderClock=18, QueueSizeAfter=1, OldLocalClock=16
[RECEIVE] SystemTime=1741155915.0836, LogicalClock=20, Info=From=2, SenderClock=19, QueueSizeAfter=1, OldLocalClock=19
[RECEIVE] SystemTime=1741155915.4189, LogicalClock=22, Info=From=2, SenderClock=21, QueueSizeAfter=0, OldLocalClock=20
[RECEIVE] SystemTime=1741155915.7567, LogicalClock=25, Info=From=2, SenderClock=24, QueueSizeAfter=1, OldLocalClock=22
[RECEIVE] SystemTime=1741155916.0926, LogicalClock=26, Info=From=2, SenderClock=25, QueueSizeAfter=0, OldLocalClock=25
[RECEIVE] SystemTime=1741155916.4320, LogicalClock=29, Info=From=2, SenderClock=28, QueueSizeAfter=0, OldLocalClock=26
[RECEIVE] SystemTime=1741155916.7717, LogicalClock=31, Info=From=2, SenderClock=30, QueueSizeAfter=1, OldLocalClock=29
[RECEIVE] SystemTime=1741155917.1111, LogicalClock=32, Info=From=2, SenderClock=31, QueueSizeAfter=2, OldLocalClock=31
[RECEIVE] SystemTime=1741155917.4453, LogicalClock=33, Info=From=2, SenderClock=32, QueueSizeAfter=1, OldLocalClock=32
[RECEIVE] SystemTime=1741155917.7814, LogicalClock=34, Info=From=2, SenderClock=33, QueueSizeAfter=0, OldLocalClock=33
[RECEIVE] SystemTime=1741155918.1200, LogicalClock=40, Info=From=2, SenderClock=39, QueueSizeAfter=0, OldLocalClock=34
[RECEIVE] SystemTime=1741155918.4559, LogicalClock=41, Info=From=2, SenderClock=40, QueueSizeAfter=0, OldLocalClock=40
[RECEIVE] SystemTime=1741155918.7930, LogicalClock=43, Info=From=2, SenderClock=42, QueueSizeAfter=0, OldLocalClock=41
[RECEIVE] SystemTime=1741155919.1301, LogicalClock=45, Info=From=2, SenderClock=44, QueueSizeAfter=0, OldLocalClock=43
[RECEIVE] SystemTime=1741155919.4695, LogicalClock=47, Info=From=2, SenderClock=46, QueueSizeAfter=1, OldLocalClock=45
[RECEIVE] SystemTime=1741155919.8088, LogicalClock=48, Info=From=2, SenderClock=47, QueueSizeAfter=1, OldLocalClock=47
[RECEIVE] SystemTime=1741155920.1457, LogicalClock=49, Info=From=2, SenderClock=48, QueueSizeAfter=2, OldLocalClock=48
[RECEIVE] SystemTime=1741155920.4834, LogicalClock=51, Info=From=2, SenderClock=50, QueueSizeAfter=2, OldLocalClock=49
[RECEIVE] SystemTime=1741155920.8202, LogicalClock=52, Info=From=2, SenderClock=51, QueueSizeAfter=2, OldLocalClock=51
[RECEIVE] SystemTime=1741155921.1591, LogicalClock=53, Info=From=2, SenderClock=52, QueueSizeAfter=1, OldLocalClock=52
[RECEIVE] SystemTime=1741155921.4980, LogicalClock=55, Info=From=2, SenderClock=54, QueueSizeAfter=0, OldLocalClock=53
[SEND] SystemTime=1741155921.8380, LogicalClock=56, Info=Broadcast to peers [2, 3]
[RECEIVE] SystemTime=1741155922.1774, LogicalClock=62, Info=From=2, SenderClock=61, QueueSizeAfter=0, OldLocalClock=56
[RECEIVE] SystemTime=1741155922.5124, LogicalClock=65, Info=From=2, SenderClock=64, QueueSizeAfter=0, OldLocalClock=62
[SEND] SystemTime=1741155922.8503, LogicalClock=66, Info=To=2
[RECEIVE] SystemTime=1741155923.1899, LogicalClock=69, Info=From=2, SenderClock=68, QueueSizeAfter=0, OldLocalClock=66
[RECEIVE] SystemTime=1741155923.5269, LogicalClock=70, Info=From=2, SenderClock=69, QueueSizeAfter=1, OldLocalClock=69
[RECEIVE] SystemTime=1741155923.8615, LogicalClock=71, Info=From=2, SenderClock=70, QueueSizeAfter=2, OldLocalClock=70
[RECEIVE] SystemTime=1741155924.1997, LogicalClock=72, Info=From=2, SenderClock=71, QueueSizeAfter=3, OldLocalClock=71
