Max internal event=4
Max clock speed=6
Machine 2 initialized. Clock rate=1
[SEND] SystemTime=1741155993.3815, LogicalClock=1, Info=Broadcast to peers [1, 3]
[RECEIVE] SystemTime=1741155994.3868, LogicalClock=3, Info=From=1, SenderClock=2, QueueSizeAfter=1, OldLocalClock=1
[RECEIVE] SystemTime=1741155995.3889, LogicalClock=4, Info=From=1, SenderClock=3, QueueSizeAfter=2, OldLocalClock=3
[RECEIVE] SystemTime=1741155996.3946, LogicalClock=7, Info=From=1, SenderClock=6, QueueSizeAfter=3, OldLocalClock=4
[RECEIVE] SystemTime=1741155997.4015, LogicalClock=8, Info=From=3, SenderClock=6, QueueSizeAfter=4, OldLocalClock=7
[RECEIVE] SystemTime=1741155998.4079, LogicalClock=11, Info=From=1, SenderClock=10, QueueSizeAfter=5, OldLocalClock=8
[RECEIVE] SystemTime=1741155999.4143, LogicalClock=12, Info=From=1, SenderClock=11, QueueSizeAfter=6, OldLocalClock=11
[RECEIVE] SystemTime=1741156000.4205, LogicalClock=14, Info=From=1, SenderClock=13, QueueSizeAfter=6, OldLocalClock=12
[RECEIVE] SystemTime=1741156001.4223, LogicalClock=16, Info=From=1, SenderClock=15, QueueSizeAfter=7, OldLocalClock=14
[RECEIVE] SystemTime=1741156002.4270, LogicalClock=17, Info=From=1, SenderClock=16, QueueSizeAfter=8, OldLocalClock=16
[RECEIVE] SystemTime=1741156003.4328, LogicalClock=18, Info=From=1, SenderClock=17, QueueSizeAfter=10, OldLocalClock=17
[RECEIVE] SystemTime=1741156004.4345, LogicalClock=20, Info=From=3, SenderClock=19, QueueSizeAfter=9, OldLocalClock=18
[RECEIVE] SystemTime=1741156005.4392, LogicalClock=24, Info=From=1, SenderClock=23, QueueSizeAfter=10, OldLocalClock=20
[RECEIVE] SystemTime=1741156006.4453, LogicalClock=27, Info=From=3, SenderClock=26, QueueSizeAfter=12, OldLocalClock=24
[RECEIVE] SystemTime=1741156007.4473, LogicalClock=30, Info=From=1, SenderClock=29, QueueSizeAfter=15, OldLocalClock=27
[RECEIVE] SystemTime=1741156008.4532, LogicalClock=31, Info=From=1, SenderClock=30, QueueSizeAfter=17, OldLocalClock=30
[RECEIVE] SystemTime=1741156009.4589, LogicalClock=33, Info=From=1, SenderClock=32, QueueSizeAfter=18, OldLocalClock=31
[RECEIVE] SystemTime=1741156010.4619, LogicalClock=35, Info=From=1, SenderClock=34, QueueSizeAfter=18, OldLocalClock=33
[RECEIVE] SystemTime=1741156011.4679, LogicalClock=37, Info=From=1, SenderClock=36, QueueSizeAfter=21, OldLocalClock=35
[RECEIVE] SystemTime=1741156012.4723, LogicalClock=38, Info=From=1, SenderClock=37, QueueSizeAfter=24, OldLocalClock=37
[RECEIVE] SystemTime=1741156013.4767, LogicalClock=40, Info=From=1, SenderClock=39, QueueSizeAfter=26, OldLocalClock=38
[RECEIVE] SystemTime=1741156014.4825, LogicalClock=47, Info=From=1, SenderClock=46, QueueSizeAfter=29, OldLocalClock=40
[RECEIVE] SystemTime=1741156015.4878, LogicalClock=48, Info=From=1, SenderClock=47, QueueSizeAfter=29, OldLocalClock=47
[RECEIVE] SystemTime=1741156016.4939, LogicalClock=51, Info=From=1, SenderClock=50, QueueSizeAfter=28, OldLocalClock=48
[RECEIVE] SystemTime=1741156017.4978, LogicalClock=52, Info=From=3, SenderClock=50, QueueSizeAfter=29, OldLocalClock=51
[RECEIVE] SystemTime=1741156018.5042, LogicalClock=53, Info=From=1, SenderClock=51, QueueSizeAfter=31, OldLocalClock=52
[RECEIVE] SystemTime=1741156019.5071, LogicalClock=54, Info=From=1, SenderClock=52, QueueSizeAfter=32, OldLocalClock=53
[RECEIVE] SystemTime=1741156020.5116, LogicalClock=55, Info=From=3, SenderClock=52, QueueSizeAfter=34, OldLocalClock=54
[RECEIVE] SystemTime=1741156021.5178, LogicalClock=56, Info=From=3, SenderClock=53, QueueSizeAfter=36, OldLocalClock=55
[RECEIVE] SystemTime=1741156022.5242, LogicalClock=57, Info=From=1, SenderClock=55, QueueSizeAfter=37, OldLocalClock=56
[RECEIVE] SystemTime=1741156023.5303, LogicalClock=58, Info=From=1, SenderClock=57, QueueSizeAfter=38, OldLocalClock=57
[RECEIVE] SystemTime=1741156024.5358, LogicalClock=59, Info=From=1, SenderClock=58, QueueSizeAfter=38, OldLocalClock=58
[RECEIVE] SystemTime=1741156025.5419, LogicalClock=60, Info=From=1, SenderClock=59, QueueSizeAfter=39, OldLocalClock=59
[RECEIVE] SystemTime=1741156026.5479, LogicalClock=61, Info=From=3, SenderClock=59, QueueSizeAfter=40, OldLocalClock=60
[RECEIVE] SystemTime=1741156027.5540, LogicalClock=62, Info=From=3, SenderClock=60, QueueSizeAfter=40, OldLocalClock=61
[RECEIVE] SystemTime=1741156028.5561, LogicalClock=66, Info=From=1, SenderClock=65, QueueSizeAfter=42, OldLocalClock=62
[RECEIVE] SystemTime=1741156029.5578, LogicalClock=69, Info=From=1, SenderClock=68, QueueSizeAfter=43, OldLocalClock=66
[RECEIVE] SystemTime=1741156030.5629, LogicalClock=70, Info=From=1, SenderClock=69, QueueSizeAfter=44, OldLocalClock=69
[RECEIVE] SystemTime=1741156031.5691, LogicalClock=71, Info=From=1, SenderClock=70, QueueSizeAfter=44, OldLocalClock=70
[RECEIVE] SystemTime=1741156032.5732, LogicalClock=72, Info=From=3, SenderClock=69, QueueSizeAfter=44, OldLocalClock=71
[RECEIVE] SystemTime=1741156033.5790, LogicalClock=73, Info=From=3, SenderClock=70, QueueSizeAfter=46, OldLocalClock=72
[RECEIVE] SystemTime=1741156034.5820, LogicalClock=74, Info=From=1, SenderClock=73, QueueSizeAfter=47, OldLocalClock=73
[RECEIVE] SystemTime=1741156035.5843, LogicalClock=75, Info=From=3, SenderClock=71, QueueSizeAfter=49, OldLocalClock=74
[RECEIVE] SystemTime=1741156036.5879, LogicalClock=76, Info=From=3, SenderClock=72, QueueSizeAfter=49, OldLocalClock=75
[RECEIVE] SystemTime=1741156037.5939, LogicalClock=77, Info=From=3, SenderClock=73, QueueSizeAfter=51, OldLocalClock=76
[RECEIVE] SystemTime=1741156038.5964, LogicalClock=78, Info=From=3, SenderClock=74, QueueSizeAfter=52, OldLocalClock=77
[RECEIVE] SystemTime=1741156039.6023, LogicalClock=79, Info=From=1, SenderClock=78, QueueSizeAfter=52, OldLocalClock=78
[RECEIVE] SystemTime=1741156040.6080, LogicalClock=80, Info=From=3, SenderClock=79, QueueSizeAfter=51, OldLocalClock=79
[RECEIVE] SystemTime=1741156041.6136, LogicalClock=82, Info=From=1, SenderClock=81, QueueSizeAfter=53, OldLocalClock=80
[RECEIVE] SystemTime=1741156042.6181, LogicalClock=83, Info=From=1, SenderClock=82, QueueSizeAfter=54, OldLocalClock=82
[RECEIVE] SystemTime=1741156043.6238, LogicalClock=84, Info=From=3, SenderClock=82, QueueSizeAfter=56, OldLocalClock=83
[RECEIVE] SystemTime=1741156044.6253, LogicalClock=87, Info=From=1, SenderClock=86, QueueSizeAfter=58, OldLocalClock=84
[RECEIVE] SystemTime=1741156045.6301, LogicalClock=94, Info=From=1, SenderClock=93, QueueSizeAfter=60, OldLocalClock=87
[RECEIVE] SystemTime=1741156046.6323, LogicalClock=95, Info=From=1, SenderClock=94, QueueSizeAfter=62, OldLocalClock=94
[RECEIVE] SystemTime=1741156047.6332, LogicalClock=96, Info=From=3, SenderClock=95, QueueSizeAfter=64, OldLocalClock=95
[RECEIVE] SystemTime=1741156048.6371, LogicalClock=98, Info=From=1, SenderClock=97, QueueSizeAfter=65, OldLocalClock=96
[RECEIVE] SystemTime=1741156049.6402, LogicalClock=99, Info=From=1, SenderClock=98, QueueSizeAfter=65, OldLocalClock=98
[RECEIVE] SystemTime=1741156050.6455, LogicalClock=101, Info=From=3, SenderClock=100, QueueSizeAfter=66, OldLocalClock=99
[RECEIVE] SystemTime=1741156051.6499, LogicalClock=102, Info=From=3, SenderClock=101, QueueSizeAfter=67, OldLocalClock=101
[RECEIVE] SystemTime=1741156052.6556, LogicalClock=105, Info=From=1, SenderClock=104, QueueSizeAfter=68, OldLocalClock=102
