Machine 3 initialized. Clock rate=2
[INTERNAL] SystemTime=1740963059.5854, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1740963060.0907, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1740963060.5967, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1740963061.1032, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1740963061.6046, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1740963062.1085, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1740963062.6140, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1740963063.1184, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1740963063.6243, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1740963064.1296, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1740963064.6353, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1740963065.1410, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1740963065.6453, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1740963066.1499, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1740963066.6547, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1740963067.1600, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1740963067.6660, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1740963068.1705, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1740963068.6760, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1740963069.1797, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1740963069.6850, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1740963070.1893, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1740963070.6945, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1740963071.1988, LogicalClock=24, Info=old_clock=23
